magnitude_app,temperature_K,spectral_class,radius_solar,metallicity_Fe_H
6.73,4484,K,0.52,0.336
13.08,6234,F,0.48,0.024
8.66,3489,M,1.42,0.228
4.36,4307,K,0.84,0.035
5.2,3519,M,0.61,0.143
8.45,3674,M,0.87,0.373
8.2,3294,M,0.73,-0.388
6.83,3232,M,2.37,-0.191
12.39,4511,K,3.1,0.313
13.24,3366,M,0.44,0.359
7.47,3506,M,0.48,-0.352
9.75,3556,M,0.68,0.391
9.85,5803,F,0.71,-0.643
10.11,3621,M,0.68,0.156
6.72,6120,F,0.91,0.055
11.88,5494,G,0.8,-0.183
7.86,5319,G,0.51,-0.168
8.84,6321,F,0.6,-0.159
8.0,9220,A,2.17,-0.051
7.72,6604,F,0.84,0.497
8.56,3658,M,0.82,0.206
5.63,4534,K,0.47,0.359
4.06,5671,G,0.79,-0.081
7.57,3573,M,1.62,0.058
6.24,4557,K,1.35,-0.268
9.1,8971,A,1.5,-0.07
8.87,4535,K,0.55,-0.138
8.03,5014,K,0.54,0.122
10.96,4716,K,1.76,-0.177
7.99,3301,M,1.51,-0.209
5.08,3469,M,0.88,0.099
7.55,3569,M,1.53,-0.013
10.34,3508,M,0.55,-0.175
4.23,3620,M,0.54,-0.212
7.81,3639,M,0.45,-0.175
9.15,5126,G,1.2,0.204
13.3,3724,M,1.11,0.104
10.42,5363,G,0.77,-0.189
8.27,3396,M,0.68,-0.179
9.04,3395,M,3.34,-0.287
4.2,3642,M,0.88,-0.098
5.9,3453,M,2.0,0.031
9.3,3384,M,0.93,-0.22
8.32,5383,G,0.78,0.547
8.58,4096,K,2.03,0.156
8.07,3353,M,1.48,-0.008
7.99,3283,M,0.99,0.021
8.21,3453,M,1.76,-0.348
5.89,3616,M,3.53,-0.3
7.54,3597,M,0.69,0.331
5.51,3720,M,1.27,0.409
6.76,3681,M,0.81,-0.554
10.39,3407,M,0.63,0.118
7.64,3503,M,0.62,0.345
9.19,3494,M,2.22,-0.085
8.23,3124,M,0.4,0.38
7.23,3287,M,1.29,0.192
5.98,3471,M,0.66,0.113
7.2,3470,M,2.43,-0.061
8.37,4615,K,0.87,0.023
9.16,3581,M,0.83,-0.112
8.24,3190,M,2.19,0.074
9.3,8720,A,1.55,0.063
4.96,3531,M,1.32,-0.109
9.73,3609,M,1.5,-0.487
5.74,3687,M,0.58,-0.049
9.97,3475,M,1.45,-0.254
9.0,3718,M,0.91,-0.28
4.26,3344,M,1.2,-0.172
9.47,4287,K,1.27,0.207
9.99,6639,F,0.57,-0.278
10.52,3435,M,1.35,-0.222
6.46,3546,M,0.91,0.177
8.36,4948,K,0.54,-0.191
9.39,4589,K,0.93,-0.282
9.47,3537,M,1.01,0.202
8.82,4304,K,1.35,-0.032
7.15,3203,M,0.3,0.016
9.98,3487,M,1.21,-0.056
9.99,3687,M,0.77,0.106
7.69,4427,K,1.5,0.171
6.43,3570,M,1.0,-0.031
6.54,3750,M,0.85,-0.375
10.73,3745,M,0.92,0.074
9.9,3575,M,1.18,-0.085
7.96,4538,K,1.57,0.214
7.6,6006,F,0.64,-0.224
4.46,5327,G,0.84,-0.079
7.83,4437,K,2.08,-0.37
5.62,3351,M,0.83,0.196
8.32,3543,M,1.2,0.306
10.37,4930,K,0.54,-0.122
6.04,3766,M,0.42,-0.049
8.48,3543,M,0.59,-0.202
10.0,3636,M,0.71,-0.178
8.44,5300,G,1.68,0.173
6.95,3756,M,1.78,-0.126
8.02,3227,M,0.38,0.119
9.91,3660,M,0.76,-0.004
8.53,4612,K,1.42,0.188
7.99,3368,M,0.95,-0.098
10.31,3463,M,2.12,0.271
9.03,3302,M,1.4,0.469
5.59,3309,M,0.87,-0.425
9.26,5983,F,0.91,-0.023
9.9,3634,M,0.97,-0.023
5.53,5831,G,0.66,-0.179
3.46,4014,K,1.6,0.102
5.92,3822,M,1.45,0.28
7.8,5497,G,1.25,-0.494
10.02,4565,K,1.13,-0.512
6.22,3242,M,0.6,0.414
9.11,3731,M,1.29,-0.06
2.22,6565,F,1.07,0.022
8.36,3699,M,2.72,-0.267
7.19,5836,G,0.52,0.011
12.2,4800,K,0.7,0.342
4.22,3387,M,0.45,0.124
7.97,5443,G,0.9,0.048
4.2,3393,M,0.42,-0.442
6.9,5746,G,1.81,0.186
4.6,3558,M,1.73,0.002
12.6,3687,M,0.92,-0.152
7.29,3695,M,0.6,0.161
7.58,3198,M,0.47,-0.212
7.91,3736,M,0.7,0.14
5.74,3666,M,1.37,0.304
10.11,5398,G,0.67,0.039
9.28,3561,M,2.6,-0.106
9.84,6460,F,2.11,-0.143
5.56,3608,M,1.0,0.096
10.27,3435,M,0.79,-0.108
10.04,5632,G,0.75,0.592
7.54,3512,M,2.22,-0.354
9.79,6360,F,0.72,-0.032
8.55,3533,M,1.6,0.068
4.81,9650,A,1.01,0.038
7.63,3380,M,1.43,-0.14
7.04,6419,F,0.66,0.308
8.17,4350,K,0.85,0.167
10.04,3401,M,0.99,0.185
4.72,4684,K,0.73,-0.167
7.11,3625,M,1.87,-0.101
6.36,3499,M,0.68,0.122
6.44,6834,F,0.75,-0.275
6.35,3639,M,1.97,0.166
8.14,6447,F,1.79,-0.025
9.05,5078,G,2.21,0.266
8.7,5728,G,0.39,-0.107
8.37,3530,M,1.11,0.454
9.24,5506,G,1.05,0.103
12.76,3418,M,0.76,0.13
8.27,3630,M,1.18,-0.173
10.04,4578,K,0.85,0.063
9.93,3459,M,1.08,-0.137
11.56,3286,M,5.48,-0.385
9.12,4740,K,1.17,-0.049
6.31,5666,G,1.2,0.291
8.61,3545,M,1.51,-0.016
8.5,3035,M,1.09,-0.074
9.63,3493,M,0.58,-0.077
6.25,4446,K,0.44,0.56
10.53,5330,G,0.99,0.152
8.01,3632,M,0.87,-0.398
9.68,6732,F,0.37,-0.136
8.62,3576,M,2.26,-0.1
8.25,6837,F,1.05,-0.18
8.47,3321,M,2.05,0.016
9.34,3421,M,0.33,-0.143
11.92,4517,K,2.07,-0.128
3.97,6298,F,0.78,0.038
9.08,3627,M,1.88,-0.385
8.09,4383,K,1.11,-0.538
7.65,4792,K,1.25,0.311
3.27,3337,M,1.26,0.209
9.16,6086,G,0.81,0.092
7.75,4957,K,0.72,0.076
6.33,3483,M,0.83,-0.047
8.08,3701,M,0.48,0.754
7.41,4410,K,0.79,0.048
4.52,3677,M,0.71,0.652
8.18,3469,M,0.47,0.516
9.16,3275,M,1.26,0.115
6.9,3705,K,1.0,-0.052
8.52,39463,O,1.13,0.004
8.22,3549,M,1.42,-0.1
10.09,3733,M,0.89,0.115
7.79,3506,M,0.63,0.168
9.6,6826,F,1.16,-0.306
7.37,3421,M,0.23,0.654
11.93,3441,M,0.95,-0.195
7.13,4737,K,1.47,-0.672
6.63,4822,G,1.69,-0.02
7.8,3502,M,0.77,-0.287
6.54,3430,M,0.33,-0.013
5.5,6942,F,0.27,0.018
9.46,3408,M,1.38,0.111
1.87,3590,M,0.84,0.251
6.56,3661,M,2.74,-0.252
5.32,3239,M,0.49,-0.091
8.28,3476,M,1.19,0.17
3.62,5381,G,2.3,-0.164
9.1,4713,K,1.11,-0.469
9.31,3618,M,0.45,0.155
4.73,8401,A,4.0,-0.141
8.38,3317,M,2.2,-0.158
9.03,3682,M,0.89,0.03
9.88,4485,K,1.51,0.001
5.06,3217,M,1.51,0.249
4.78,3232,M,1.38,-0.312
11.01,4598,K,0.5,0.566
6.36,3277,M,1.18,-0.354
6.95,3825,M,2.08,-0.097
9.27,3336,M,1.29,-0.217
5.66,3500,M,1.22,0.014
7.47,6552,F,0.76,0.005
9.78,6263,F,0.64,0.042
5.16,5772,F,0.46,0.065
7.0,3533,M,1.46,0.327
5.75,4331,K,0.9,0.039
6.45,4526,K,0.51,0.347
10.37,3479,M,1.63,-0.438
10.81,5572,G,0.75,-0.546
8.52,4851,K,0.65,0.032
9.06,3404,M,0.78,0.082
9.01,4395,K,0.91,-0.133
6.66,3208,M,1.26,-0.003
8.48,4456,K,0.65,0.269
5.41,4592,K,1.66,0.168
6.08,3415,M,1.27,-0.082
7.83,3573,M,0.77,0.049
5.88,3469,M,0.92,0.19
5.45,3272,M,0.81,-0.307
6.58,3555,M,1.03,-0.201
10.29,3464,M,2.14,0.231
11.11,3521,M,0.81,-0.432
7.93,3401,M,1.1,-0.273
9.16,3385,M,0.71,-0.303
6.87,5543,G,1.3,0.229
3.87,3460,M,1.15,-0.271
6.21,3802,M,1.94,0.198
7.38,3640,M,0.66,-0.088
8.28,5650,G,1.41,0.445
7.8,4460,K,1.88,0.032
7.44,4044,K,0.8,0.267
6.85,3359,M,0.94,0.115
8.69,5322,G,1.1,-0.113
5.27,4438,K,0.89,-0.003
9.6,5491,G,1.09,0.002
6.83,4648,K,1.4,-0.115
12.13,3548,M,0.94,0.222
7.37,3703,M,0.94,0.628
7.04,8367,A,1.14,0.029
6.87,3545,M,0.82,0.179
7.06,6612,F,0.84,0.132
9.21,6580,F,0.64,-0.653
7.92,3724,M,0.98,0.123
9.97,3641,M,1.25,0.11
8.93,3269,M,0.87,-0.312
8.06,3480,M,0.68,-0.447
8.75,3498,M,0.95,0.107
10.39,6092,G,1.22,0.411
9.31,4426,K,1.07,-0.092
8.56,5230,G,3.05,-0.083
8.85,3577,M,0.72,0.577
5.69,4612,K,0.93,0.224
13.14,5480,G,1.48,-0.304
9.06,3461,M,0.71,-0.178
9.26,6808,F,2.62,0.545
7.94,6223,F,1.0,-0.166
3.4,5406,G,1.32,-0.133
7.47,38956,O,1.01,0.168
8.15,3691,M,1.66,-0.066
6.35,3550,M,0.59,0.111
6.34,5207,G,2.19,0.072
7.32,4283,K,1.12,-0.036
9.54,3828,M,1.39,0.302
10.51,3690,M,0.69,-0.319
8.34,3647,M,1.18,0.029
6.87,3502,M,0.62,-0.145
7.28,4839,K,1.8,0.41
8.2,3307,M,0.52,-0.044
8.44,3632,M,1.08,0.481
8.87,5378,G,0.82,-0.105
7.12,4444,K,0.46,0.027
9.06,4663,K,0.63,0.272
8.9,5461,G,1.25,-0.239
7.21,3424,M,0.64,0.377
4.56,3413,M,0.72,0.007
6.23,4954,G,1.21,0.103
11.14,4672,K,1.58,0.137
4.61,3324,M,1.39,-0.019
10.64,6011,G,0.98,-0.202
4.54,3450,M,1.11,0.024
6.45,3729,M,1.06,-0.503
7.25,3183,M,0.6,-0.328
11.56,3628,M,1.15,-0.035
8.05,3673,M,0.59,0.387
7.57,3728,M,1.36,0.379
6.13,4156,K,1.07,0.245
9.04,3377,M,0.34,-0.385
6.97,8745,A,1.63,0.075
7.54,4533,K,0.77,-0.215
7.28,6595,F,0.74,-0.017
9.44,3437,M,1.61,0.239
9.52,7004,F,0.92,0.164
6.22,3956,M,1.35,0.321
6.75,3518,M,0.72,-0.352
6.55,8693,A,1.49,-0.256
8.37,3510,M,1.1,0.377
9.81,3725,M,1.22,0.38
8.39,3645,M,0.91,-0.004
3.62,8047,A,2.26,-0.006
9.52,3393,M,2.55,0.293
5.3,3323,M,0.33,0.133
6.57,5106,K,1.59,0.152
8.4,4643,K,0.58,-0.231
7.83,3396,M,1.29,0.287
9.75,3382,M,0.41,-0.05
6.78,4681,K,1.22,-0.348
6.07,6794,F,0.66,-0.195
7.38,3640,M,0.8,-0.149
9.95,8319,A,0.81,0.37
9.26,3554,M,0.69,-0.174
8.17,4525,K,0.7,0.096
10.65,3336,M,0.82,-0.528
10.29,5245,G,0.93,0.234
9.58,3572,M,1.18,-0.198
5.64,3534,M,2.54,0.098
9.57,3597,M,0.62,0.098
7.6,3638,M,1.07,0.158
7.21,5912,G,1.47,0.083
6.63,4325,K,0.7,0.479
7.66,3610,M,0.32,0.052
6.75,3631,M,0.38,0.562
8.34,3445,M,0.33,0.159
7.65,4527,K,2.16,0.069
8.44,3450,M,1.36,0.223
9.11,3869,M,1.46,0.049
7.41,5529,G,1.63,0.112
6.53,3579,M,0.75,0.087
3.99,4441,K,3.16,0.062
9.54,3416,M,1.18,0.53
8.16,4207,K,0.96,0.568
7.65,4747,K,1.74,0.082
10.34,8827,A,1.4,0.315
5.42,3447,M,1.95,0.3
8.11,3342,M,2.01,0.273
6.07,6558,F,0.84,0.136
9.31,3413,M,1.1,0.166
3.55,3461,M,0.63,0.143
9.61,3279,M,0.44,-0.18
9.53,6571,F,1.52,-0.016
6.15,4553,K,1.61,-0.299
8.13,3692,M,0.37,0.144
6.2,5459,G,0.7,0.108
8.86,3442,M,1.03,0.175
9.64,3228,M,1.08,-0.194
5.99,5803,G,2.78,0.241
5.41,4701,K,0.73,0.118
10.19,3505,M,0.92,0.558
11.88,4201,K,1.38,0.202
8.99,5166,G,0.84,-0.149
9.14,3404,M,0.78,-0.338
7.34,3669,M,0.75,0.055
8.36,3551,M,1.12,-0.257
8.7,3239,M,0.92,-0.184
7.63,6631,F,1.41,-0.241
10.7,4311,K,1.2,-0.145
8.35,3409,M,0.23,0.364
8.61,3670,M,0.42,-0.242
7.68,3634,M,0.78,-0.106
7.88,6855,F,1.63,-0.358
10.44,4495,K,0.72,-0.427
8.29,6787,F,1.21,-0.07
8.34,3397,M,1.35,0.052
8.36,6416,F,1.31,-0.288
7.27,5410,G,0.76,-0.38
5.18,4505,K,0.56,-0.468
11.15,3275,M,0.52,0.036
10.14,4449,K,4.42,0.234
10.5,3754,M,1.26,-0.357
5.85,3309,M,2.51,-0.162
10.89,4201,K,0.66,0.271
11.93,3281,M,1.87,-0.053
10.09,5099,K,0.79,-0.025
11.3,4605,K,0.99,0.095
9.6,3453,M,0.87,-0.111
6.31,3512,M,0.64,-0.194
9.02,3540,M,0.65,0.077
5.96,3388,M,0.98,-0.345
6.81,3409,M,0.75,-0.403
8.63,3472,M,1.07,-0.173
8.36,3373,M,0.66,0.178
8.93,3431,M,1.42,0.291
4.42,4579,K,0.79,-0.119
7.69,4276,K,2.27,0.208
9.1,3957,M,0.98,0.345
9.5,8820,A,0.95,0.009
9.63,3278,M,2.23,0.159
8.5,3066,M,0.78,0.467
7.24,3380,M,0.82,-0.176
9.0,3620,M,0.7,-0.06
7.4,4610,K,1.11,0.4
9.8,3481,M,0.69,-0.235
8.85,6305,F,1.47,0.039
7.88,4297,K,0.98,-0.157
6.46,3430,M,1.52,0.341
10.24,5222,G,1.44,-0.296
9.12,4410,K,0.77,-0.017
12.21,3733,M,0.69,-0.262
9.05,3365,M,0.85,-0.367
9.22,3607,M,1.0,-0.475
5.07,3634,M,1.18,-0.041
8.62,3311,M,1.25,0.121
7.37,5268,G,0.98,0.005
9.65,3687,M,0.71,0.059
8.67,3338,M,0.75,-0.109
9.97,4487,K,1.3,0.246
12.27,3857,M,0.72,0.182
6.4,3671,M,1.32,0.031
9.89,6528,F,1.35,0.051
9.37,4689,K,2.15,-0.116
11.96,4487,K,0.79,0.486
9.41,3678,M,0.85,0.202
9.2,3142,M,0.31,-0.026
9.7,3476,M,0.62,-0.043
9.84,3135,M,0.62,-0.097
10.91,3528,M,1.29,-0.075
6.36,3459,M,2.47,0.062
7.22,3738,M,1.34,-0.427
11.47,3625,M,1.64,-0.062
4.08,3408,M,0.7,-0.033
7.83,3429,M,0.55,-0.002
8.3,3567,M,0.89,0.044
7.65,3400,M,0.73,0.008
11.16,4493,K,0.65,0.101
8.95,3730,M,1.12,-0.034
7.23,3355,M,0.55,0.247
6.73,3422,M,1.51,0.164
8.56,3446,M,0.82,0.561
10.33,5211,K,0.98,0.175
8.28,5667,G,1.05,-0.186
7.73,4755,K,0.79,-0.039
6.61,3634,M,1.88,-0.127
8.75,4688,K,0.45,0.002
8.64,3583,M,1.9,0.274
6.55,3564,M,0.84,-0.081
10.05,3246,M,1.58,-0.142
11.41,3563,M,1.11,0.129
8.1,3481,M,1.53,-0.204
8.6,3595,M,0.94,-0.219
5.79,3488,M,1.13,0.095
9.47,3634,M,1.73,-0.448
8.93,4711,K,1.05,-0.121
7.35,4699,G,1.94,0.214
6.51,3424,M,1.19,-0.458
11.7,3175,M,0.69,-0.44
8.77,3542,M,0.84,-0.358
6.16,3447,M,1.56,-0.683
9.71,4805,K,0.54,0.474
8.46,3536,M,1.49,0.03
8.12,5366,G,0.83,-0.168
9.96,3664,M,0.52,-0.323
2.77,3444,M,1.11,0.55
4.39,3413,M,0.7,0.164
10.76,3569,M,0.75,-0.032
7.74,3782,M,0.73,0.305
7.15,3649,M,1.06,0.097
5.32,3599,M,0.82,-0.125
8.39,3981,M,1.22,-0.152
8.63,3372,M,1.66,-0.148
10.88,6255,F,1.31,-0.254
8.74,5540,G,2.47,0.278
7.39,3765,M,2.79,-0.129
8.81,4288,K,0.86,0.338
10.22,3807,M,0.56,-0.207
9.78,3248,M,0.87,-0.15
9.24,3479,M,1.06,-0.113
8.55,3530,M,3.04,-0.225
6.84,5257,G,0.83,-0.147
5.93,4360,K,1.15,0.138
5.62,3639,M,0.71,0.3
8.79,4824,K,0.84,0.075
9.0,4024,K,0.54,-0.298
10.19,3532,M,0.48,-0.15
9.12,3480,M,1.97,-0.145
10.1,3519,M,1.7,0.425
7.74,3445,M,0.83,0.246
9.54,3274,M,1.7,0.304
6.0,3770,M,0.52,-0.177
7.88,3703,M,0.92,-0.318
4.34,3482,M,1.09,0.143
8.06,5366,G,1.88,-0.115
10.45,3393,M,1.1,0.073
8.14,3048,M,1.31,0.103
9.44,3562,M,0.79,-0.099
8.55,3637,M,1.14,0.251
6.86,4531,K,1.88,-0.365
7.63,6472,F,0.45,0.027
10.36,3523,M,1.76,0.17
9.43,3351,M,0.9,0.426
6.76,3413,M,0.5,0.034
5.23,6446,F,0.87,0.314
8.41,3622,M,1.91,0.298
6.84,6948,F,0.79,0.584
7.65,3460,M,1.16,0.081
5.09,4265,K,0.45,0.513
10.08,3506,M,0.4,0.203
7.81,3852,M,0.58,-0.384
8.11,3332,M,1.66,0.007
6.33,4699,K,0.97,-0.229
7.45,4801,K,1.73,0.383
8.24,3437,M,1.78,0.042
6.77,5307,G,0.68,-0.33
7.57,3601,M,2.19,0.221
10.77,4579,K,0.76,0.33
4.5,3622,M,1.65,-0.101
8.37,6070,G,1.62,-0.112
6.43,3529,M,1.03,0.05
10.67,3291,M,1.03,-0.453
7.64,4515,K,1.17,0.177
5.91,6579,F,1.06,0.423
7.57,3722,M,0.82,-0.163
8.7,3466,M,0.79,0.461
13.55,8326,A,0.83,0.249
3.78,3260,M,1.84,-0.019
5.6,3596,M,0.45,0.159
10.61,6421,G,0.78,0.399
4.98,3461,M,0.85,0.035
8.02,3579,M,0.89,0.098
7.03,6322,F,1.16,-0.134
6.72,7955,A,0.51,-0.03
7.66,3576,M,1.67,0.175
7.33,3505,M,1.56,-0.045
10.11,4844,G,1.4,-0.126
10.66,3782,M,0.9,0.288
8.85,3573,M,0.69,0.121
7.53,4517,K,0.85,-0.12
8.52,3426,M,1.03,0.438
9.61,3571,M,1.4,0.528
10.0,5624,G,0.96,0.254
8.74,3570,M,1.2,-0.299
11.06,3687,M,0.8,0.102
6.77,5856,G,1.15,0.147
10.28,7152,F,0.88,-0.396
9.41,8144,A,1.14,0.298
6.78,4371,K,0.41,0.052
8.47,6617,F,1.28,0.281
8.6,3364,M,1.31,-0.076
7.72,3392,M,1.3,0.121
7.69,6654,F,0.61,0.133
4.95,3658,M,0.7,0.047
6.62,9042,A,0.65,0.123
7.52,5447,G,1.18,-0.034
6.85,4604,K,1.39,-0.296
6.29,4555,K,0.71,-0.51
10.12,3503,M,1.93,-0.154
7.79,4316,K,1.92,0.198
12.33,3335,M,1.07,-0.26
8.45,4650,K,1.2,0.265
10.08,38334,O,0.43,0.348
7.58,3189,M,0.77,0.118
6.68,6490,F,0.53,-0.041
8.53,3755,M,0.63,0.256
10.59,4731,G,1.29,0.289
7.82,3450,M,1.46,-0.056
8.89,3618,M,1.49,0.021
8.52,4999,G,1.13,-0.203
7.8,3463,M,1.3,0.072
7.91,3301,M,0.45,-0.517
6.0,6173,F,0.52,-0.073
7.98,3430,M,0.9,-0.213
9.31,6135,F,1.35,-0.022
8.59,4229,K,0.8,-0.199
8.37,5484,G,0.51,-0.478
9.45,3890,M,0.71,-0.163
8.39,5708,G,0.63,-0.119
8.03,6828,F,0.42,0.266
9.47,3640,M,3.04,-0.16
8.27,4343,K,1.85,-0.212
7.53,4570,K,0.37,-0.298
8.94,5802,G,0.38,0.286
7.93,3645,M,0.67,-0.056
7.44,3534,M,0.47,0.068
8.31,4617,K,3.29,-0.386
8.33,6177,G,0.67,-0.439
5.79,3647,M,1.2,-0.225
8.67,3445,M,0.78,0.406
11.69,4483,K,0.56,-0.273
6.04,8052,A,1.69,-0.157
6.99,6145,G,1.39,0.003
13.56,3781,M,0.97,-0.156
6.36,3515,M,3.29,0.12
10.57,9427,A,1.12,-0.208
7.54,4642,K,0.8,-0.275
8.12,6360,F,2.61,0.679
7.74,4704,K,1.22,-0.234
8.85,4590,K,2.26,0.199
4.84,3647,M,0.98,-0.236
8.37,6055,F,0.22,-0.385
7.19,3358,M,0.46,-0.023
4.27,4835,K,1.72,-0.335
10.24,3796,M,0.74,-0.098
3.78,3748,M,1.14,-0.199
12.3,7221,F,1.76,0.313
9.23,3601,M,1.09,-0.385
5.28,6665,F,0.65,0.169
10.68,3340,M,0.99,0.071
6.5,3398,M,1.05,-0.057
6.59,5854,F,0.82,-0.19
4.4,3444,M,0.5,0.043
6.27,3140,M,0.84,0.056
6.51,3689,M,0.95,0.098
9.64,3568,M,0.49,-0.067
10.33,4044,K,0.63,-0.286
5.52,3467,M,0.7,0.22
8.54,3844,M,0.39,-0.001
4.32,3478,M,1.07,-0.153
8.55,3325,M,1.13,-0.25
12.32,5920,F,0.76,0.231
4.44,5017,G,0.5,0.346
5.97,3594,M,1.23,0.144
9.45,3424,M,1.31,0.161
9.69,3439,M,1.05,0.293
6.12,3425,M,1.02,-0.09
10.95,3475,M,1.35,0.534
6.37,3285,M,0.95,-0.265
11.35,3555,M,0.63,-0.061
8.94,3251,M,0.97,-0.193
10.54,3368,M,0.82,0.016
8.74,3677,M,0.97,0.433
9.31,8660,A,1.56,-0.06
9.42,5689,G,0.55,0.105
10.29,6091,G,1.09,-0.727
7.93,8475,A,0.53,0.107
6.2,5506,G,0.63,0.25
7.84,3454,M,2.2,0.031
6.67,3422,M,1.26,-0.267
6.8,4273,K,1.08,-0.3
11.31,3515,M,0.44,-0.139
9.25,3562,M,0.89,-0.302
9.15,5613,G,0.35,0.394
10.15,3511,M,1.02,0.117
9.24,4708,K,0.54,0.361
11.73,3505,M,1.32,-0.072
3.81,4408,K,1.08,-0.191
6.0,3338,M,0.54,-0.176
6.6,3229,M,1.21,-0.116
5.25,5902,G,2.85,-0.124
8.23,3378,M,0.9,0.305
8.32,6199,F,1.55,0.228
11.95,3427,M,0.35,0.068
9.81,3451,M,1.26,-0.415
6.98,3787,M,0.75,0.074
8.99,4426,K,0.87,-0.078
4.35,6224,G,1.35,0.352
8.28,3511,M,0.89,0.224
8.18,7169,F,0.45,0.036
6.2,3656,M,2.15,-0.524
7.6,3563,M,0.48,-0.034
6.61,3776,M,0.66,-0.163
6.13,5809,G,1.07,0.101
9.35,3611,M,1.07,-0.286
10.07,3906,M,1.24,0.066
9.02,3413,M,1.07,-0.555
7.12,3326,M,1.78,-0.346
6.67,4348,K,1.28,-0.22
7.19,5982,G,0.55,-0.137
7.56,4826,K,0.27,0.097
6.26,3408,M,1.08,-0.414
10.11,3970,K,2.08,-0.16
7.6,3464,M,0.53,-0.154
9.53,3323,M,0.59,0.172
5.2,3414,M,1.19,-0.048
6.62,5210,G,1.27,-0.242
9.72,3218,M,1.75,-0.27
9.75,3830,M,2.27,-0.138
5.59,8209,A,1.13,-0.412
8.61,6959,F,0.63,0.406
8.66,3461,M,0.64,-0.001
6.58,4246,K,0.76,-0.228
8.71,5640,G,1.67,-0.264
4.84,6373,F,0.78,-0.302
6.15,5443,G,1.62,0.093
9.2,3525,M,0.47,-0.413
8.06,3358,M,1.15,-0.044
8.16,3216,M,0.69,0.143
7.65,3491,M,1.3,-0.146
9.07,3669,M,0.88,-0.253
9.17,3342,M,1.49,0.209
9.58,4535,K,0.8,-0.283
8.25,3763,M,0.99,-0.069
7.22,5475,G,1.5,0.029
6.89,4519,K,0.95,-0.151
5.89,6518,F,1.03,-0.3
7.19,5312,G,1.46,-0.14
6.79,6177,F,0.96,0.085
11.2,4277,K,0.45,-0.182
5.91,3564,M,0.75,0.114
10.07,4671,K,0.38,-0.064
7.46,3641,M,0.88,-0.151
7.59,3434,M,1.27,-0.181
8.8,3691,M,1.06,0.058
5.16,4569,K,2.01,0.282
6.4,3512,M,1.9,0.03
5.52,5415,F,1.14,-0.241
7.24,3357,M,0.3,0.273
6.18,3234,M,1.4,-0.221
10.63,3610,M,0.68,0.432
6.83,4521,K,1.55,-0.04
3.24,3312,M,1.17,-0.22
7.33,3553,M,1.39,0.14
9.61,3251,M,1.29,-0.078
11.26,3317,M,3.3,0.111
7.54,4340,K,1.3,0.023
6.97,4622,K,0.53,-0.345
7.97,9095,A,1.71,-0.018
8.83,3397,M,0.81,0.125
5.74,4798,K,1.96,0.028
7.51,4511,K,2.16,0.314
7.9,3541,M,1.36,0.078
8.09,3489,M,0.53,-0.06
7.71,3465,M,0.79,0.053
6.13,5621,G,1.95,-0.123
8.68,3630,M,2.72,0.09
7.91,3345,M,1.03,0.09
7.91,3467,M,0.87,-0.31
5.83,4876,K,0.55,0.193
9.28,6558,F,0.56,0.558
6.1,4565,K,1.12,0.136
11.23,3704,M,1.42,-0.508
5.64,6337,F,0.48,-0.107
9.52,3494,M,1.51,-0.32
4.18,3643,M,1.99,-0.073
3.48,3717,M,1.37,0.171
6.89,7495,A,2.29,-0.18
3.48,3371,M,1.19,0.471
9.46,3325,M,1.2,-0.72
7.96,4472,K,1.19,-0.062
10.8,3339,M,1.97,0.095
7.67,5683,G,1.31,-0.305
8.49,3530,M,0.77,-0.272
7.46,4700,K,1.24,0.189
6.25,3667,M,1.24,0.482
7.19,3619,M,0.9,0.512
5.59,6391,F,1.67,-0.087
8.77,3518,M,1.05,0.338
7.38,3419,M,1.42,-0.017
7.8,3261,M,1.29,0.229
13.65,6810,F,0.7,-0.053
7.19,4481,K,0.61,-0.284
8.63,3237,M,0.7,0.4
7.89,5648,G,0.96,0.466
10.32,3461,M,2.22,-0.105
8.48,5831,F,0.98,0.234
7.46,4191,K,1.21,-0.036
12.59,3377,M,1.55,0.545
6.28,3537,M,0.84,-0.373
7.61,3638,M,0.81,-0.045
9.83,3632,M,1.69,-0.362
6.36,3606,M,1.33,-0.397
9.53,3494,M,0.75,-0.029
7.04,3801,M,0.81,-0.113
10.01,3622,M,1.04,-0.253
9.95,3539,M,1.18,0.209
7.82,4627,K,1.86,0.325
6.0,3430,M,1.3,0.128
7.22,4487,K,0.61,-0.469
7.97,17918,B,0.67,0.085
9.78,5394,G,1.17,0.082
8.64,5984,G,1.07,-0.211
9.08,4533,K,0.66,0.086
8.7,3519,M,1.69,-0.127
9.69,3675,M,0.32,-0.205
7.6,5598,G,1.18,-0.296
8.33,3362,M,0.46,0.209
8.06,3504,M,1.55,0.323
7.12,3301,M,0.88,-0.035
10.02,4541,K,1.45,0.246
9.98,3353,M,0.82,0.382
10.41,4709,K,1.94,0.033
6.47,6334,F,0.39,-0.019
8.7,4314,K,1.55,0.117
10.18,3480,M,0.74,-0.209
11.01,3564,M,1.21,0.137
4.98,5168,G,1.23,0.038
7.99,5357,G,0.5,-0.327
7.62,3518,M,1.65,-0.324
11.18,3734,M,1.22,-0.246
3.58,3931,K,1.06,0.128
5.91,3608,M,1.21,-0.084
10.87,3433,M,1.06,-0.006
7.06,5364,G,1.52,0.342
5.4,3381,M,0.79,0.111
11.02,19636,B,1.52,-0.161
5.14,3609,M,1.33,-0.247
